2025-10-23 16:19:28.807 [main] INFO  MainKt - Iniciando Agente de Backup (Modo Supabase Realtime)...
2025-10-23 16:19:28.829 [main] INFO  MainKt - ID do Cliente: 12922085627
2025-10-23 16:19:28.830 [main] INFO  MainKt - Registro: Verificando se o cliente '12922085627' já está cadastrado...
2025-10-23 16:19:30.114 [main] INFO  MainKt - Registro: Cliente não encontrado. Registrando novo cliente...
2025-10-23 16:19:30.390 [main] INFO  MainKt - Registro: Cliente 'WaldirTesteFront' registrado com sucesso!
2025-10-23 16:19:30.453 [main] INFO  MainKt - Agente iniciado. Ouvindo por agendamentos e monitorando backups.
2025-10-23 16:19:30.454 [main] INFO  c.waldirbaia.agent.RealtimeManager - 🔌 Conectando: execucoes_realtime...
2025-10-23 16:19:30.477 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Verificando pasta de backups em 'C:/Waldir/Backups'...
2025-10-23 16:19:30.478 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Encontrados 1 arquivos recentes. Verificando quais são novos...
2025-10-23 16:19:30.614 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: 1 arquivo(s) novo(s) encontrado(s). Verificando integridade...
2025-10-23 16:19:30.615 [main] INFO  com.waldirbaia.agent.BackupMonitor - 🔍 Verificando integridade do arquivo '2025-10-22.2irmaos.hermes_2irmaos.gerencial.sql.bz2'...
2025-10-23 16:19:31.639 [main] ERROR com.waldirbaia.agent.BackupMonitor - ❌ Monitor: Falha na verificação de integridade de '2025-10-22.2irmaos.hermes_2irmaos.gerencial.sql.bz2': Arquivo não encontrado na nuvem ou erro ao executar rclone: 2025/10/23 16:19:31 ERROR : error listing: path/not_folder/
2025/10/23 16:19:31 NOTICE: Failed to hashsum with 2 errors: last error was: path/not_folder/

2025-10-23 16:19:31.676 [main] INFO  c.waldirbaia.agent.RealtimeManager - ✅ Canal 'execucoes_realtime' ativo
2025-10-23 16:19:31.677 [main] INFO  c.waldirbaia.agent.RealtimeManager - 🔌 Conectando: agendamentos...
2025-10-23 16:19:31.683 [main] INFO  c.waldirbaia.agent.RealtimeManager - ✅ Canal 'agendamentos' ativo (cron interno)
2025-10-23 16:19:31.781 [main] INFO  com.waldirbaia.agent.BackupMonitor - ✅ Monitor: 0 de 1 arquivo(s) enviado(s) com sucesso!
2025-10-23 16:19:31.782 [main] WARN  com.waldirbaia.agent.BackupMonitor - ⚠️ Monitor: 1 arquivo(s) com erro de integridade!
2025-10-23 16:20:25.432 [main] INFO  MainKt - Iniciando Agente de Backup (Modo Supabase Realtime)...
2025-10-23 16:20:25.434 [main] INFO  MainKt - ID do Cliente: 12922085627
2025-10-23 16:20:25.436 [main] INFO  MainKt - Registro: Verificando se o cliente '12922085627' já está cadastrado...
2025-10-23 16:20:26.671 [main] INFO  MainKt - Registro: Cliente já está cadastrado. Nenhuma ação necessária.
2025-10-23 16:20:26.710 [main] INFO  MainKt - Agente iniciado. Ouvindo por agendamentos e monitorando backups.
2025-10-23 16:20:26.711 [main] INFO  c.waldirbaia.agent.RealtimeManager - 🔌 Conectando: execucoes_realtime...
2025-10-23 16:20:26.741 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Verificando pasta de backups em 'C:/Waldir/Backups'...
2025-10-23 16:20:26.742 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Encontrados 1 arquivos recentes. Verificando quais são novos...
2025-10-23 16:20:26.987 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Todos os arquivos já estão registrados. Nenhum novo arquivo.
2025-10-23 16:20:27.062 [main] INFO  c.waldirbaia.agent.RealtimeManager - ✅ Canal 'execucoes_realtime' ativo
2025-10-23 16:20:27.063 [main] INFO  c.waldirbaia.agent.RealtimeManager - 🔌 Conectando: agendamentos...
2025-10-23 16:20:27.070 [main] INFO  c.waldirbaia.agent.RealtimeManager - ✅ Canal 'agendamentos' ativo (cron interno)
2025-10-23 16:21:26.998 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Verificando pasta de backups em 'C:/Waldir/Backups'...
2025-10-23 16:21:27.000 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Encontrados 1 arquivos recentes. Verificando quais são novos...
2025-10-23 16:21:27.155 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Todos os arquivos já estão registrados. Nenhum novo arquivo.
2025-10-23 16:22:27.174 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Verificando pasta de backups em 'C:/Waldir/Backups'...
2025-10-23 16:22:27.175 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Encontrados 1 arquivos recentes. Verificando quais são novos...
2025-10-23 16:22:27.350 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Todos os arquivos já estão registrados. Nenhum novo arquivo.
2025-10-23 16:23:27.485 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Verificando pasta de backups em 'C:/Waldir/Backups'...
2025-10-23 16:23:27.486 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Encontrados 1 arquivos recentes. Verificando quais são novos...
2025-10-23 16:23:27.739 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Todos os arquivos já estão registrados. Nenhum novo arquivo.
2025-10-23 16:24:27.750 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Verificando pasta de backups em 'C:/Waldir/Backups'...
2025-10-23 16:24:27.751 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Encontrados 1 arquivos recentes. Verificando quais são novos...
2025-10-23 16:24:27.902 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Todos os arquivos já estão registrados. Nenhum novo arquivo.
2025-10-23 16:25:27.971 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Verificando pasta de backups em 'C:/Waldir/Backups'...
2025-10-23 16:25:27.980 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Encontrados 1 arquivos recentes. Verificando quais são novos...
2025-10-23 16:25:28.553 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Todos os arquivos já estão registrados. Nenhum novo arquivo.
2025-10-23 16:26:28.559 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Verificando pasta de backups em 'C:/Waldir/Backups'...
2025-10-23 16:26:28.561 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Encontrados 1 arquivos recentes. Verificando quais são novos...
2025-10-23 16:26:28.853 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Todos os arquivos já estão registrados. Nenhum novo arquivo.
2025-10-23 16:27:28.864 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Verificando pasta de backups em 'C:/Waldir/Backups'...
2025-10-23 16:27:28.865 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Encontrados 1 arquivos recentes. Verificando quais são novos...
2025-10-23 16:27:29.006 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Todos os arquivos já estão registrados. Nenhum novo arquivo.
2025-10-23 16:28:29.017 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Verificando pasta de backups em 'C:/Waldir/Backups'...
2025-10-23 16:28:29.018 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Encontrados 1 arquivos recentes. Verificando quais são novos...
2025-10-23 16:28:29.177 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Todos os arquivos já estão registrados. Nenhum novo arquivo.
