2025-10-20 16:08:41.548 [main] INFO  MainKt - Iniciando Agente de Backup (Modo Supabase Realtime)...
2025-10-20 16:08:41.567 [main] INFO  MainKt - ID do Cliente: 12922085627
2025-10-20 16:08:41.569 [main] INFO  MainKt - Registro: Verificando se o cliente '12922085627' já está cadastrado...
2025-10-20 16:08:42.855 [main] INFO  MainKt - Registro: Cliente já está cadastrado. Nenhuma ação necessária.
2025-10-20 16:08:42.930 [main] INFO  MainKt - Agente iniciado. Ouvindo por agendamentos e monitorando backups.
2025-10-20 16:08:42.933 [main] INFO  c.waldirbaia.agent.RealtimeManager - 🔌 Conectando: execucoes_realtime...
2025-10-20 16:08:42.979 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Verificando pasta de backups em 'C:/Waldir/Backups'...
2025-10-20 16:08:42.980 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Encontrados 1 arquivos recentes. Verificando quais são novos...
2025-10-20 16:08:43.226 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: 1 arquivo(s) novo(s) encontrado(s). Verificando integridade...
2025-10-20 16:08:43.226 [main] INFO  com.waldirbaia.agent.BackupMonitor - 🔍 Verificando integridade do arquivo '2025-10-18.2irmaos.hermes_2irmaos.gerencial.sql.bz2'...
2025-10-20 16:08:45.515 [main] ERROR com.waldirbaia.agent.BackupMonitor - ❌ Monitor: Falha na verificação de integridade de '2025-10-18.2irmaos.hermes_2irmaos.gerencial.sql.bz2': Arquivo não encontrado na nuvem ou erro ao executar rclone: 2025/10/20 16:08:45 ERROR : error listing: directory not found
2025/10/20 16:08:45 NOTICE: Failed to hashsum with 2 errors: last error was: directory not found

2025-10-20 16:08:45.631 [main] INFO  c.waldirbaia.agent.RealtimeManager - ✅ Canal 'execucoes_realtime' ativo
2025-10-20 16:08:45.632 [main] INFO  c.waldirbaia.agent.RealtimeManager - 🔌 Conectando: agendamentos...
2025-10-20 16:08:45.642 [main] INFO  c.waldirbaia.agent.RealtimeManager - ✅ Canal 'agendamentos' ativo (cron interno)
2025-10-20 16:08:45.706 [main] INFO  com.waldirbaia.agent.BackupMonitor - ✅ Monitor: 0 de 1 arquivo(s) enviado(s) com sucesso!
2025-10-20 16:08:45.706 [main] WARN  com.waldirbaia.agent.BackupMonitor - ⚠️ Monitor: 1 arquivo(s) com erro de integridade!
2025-10-20 16:21:26.210 [main] INFO  MainKt - Iniciando Agente de Backup (Modo Supabase Realtime)...
2025-10-20 16:21:26.212 [main] INFO  MainKt - ID do Cliente: 12922085627
2025-10-20 16:21:26.214 [main] INFO  MainKt - Registro: Verificando se o cliente '12922085627' já está cadastrado...
2025-10-20 16:21:27.353 [main] INFO  MainKt - Registro: Cliente já está cadastrado. Nenhuma ação necessária.
2025-10-20 16:21:27.393 [main] INFO  MainKt - Agente iniciado. Ouvindo por agendamentos e monitorando backups.
2025-10-20 16:21:27.395 [main] INFO  c.waldirbaia.agent.RealtimeManager - 🔌 Conectando: execucoes_realtime...
2025-10-20 16:21:27.422 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Verificando pasta de backups em 'C:/Waldir/Backups'...
2025-10-20 16:21:27.424 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Encontrados 1 arquivos recentes. Verificando quais são novos...
2025-10-20 16:21:27.682 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Todos os arquivos já estão registrados. Nenhum novo arquivo.
